class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,4135955.0,3994690.0,0.9118206489153183,0.8379323206293597
1,T1,73908.0,46120.0,0.5790315593063365,0.4074907948192091
2,T2,44651.0,74453.0,0.41179137560945234,0.2592804051632011
3,T3,50406.0,60474.0,0.3513708513767012,0.21312910285324807
4,T4,52517.0,67945.0,0.22996463615721172,0.129920927492192
5,T5,82326.0,63972.0,0.23412486842448887,0.1325829127122551
6,T6,58205.0,64831.0,0.17524952047225814,0.0960402654750698
7,T7,24923.0,88822.0,0.07356806893425147,0.03818877156069963
8,T8,51182.0,75441.0,0.12463770405752007,0.06646060035149362
9,T9,5339.0,90948.0,0.013625930821257015,0.006859700316771134
10,T10,36845.0,96330.0,0.04400225268223013,0.022496065115570688
11,T11,16362.0,89834.0,0.029567968670857963,0.01500583030016434
12,T12,158926.0,104408.0,0.091093440273223,0.04772021962661049
13,L1,58733.0,80187.0,0.0755830693991104,0.039275828540141576
14,L2,161795.0,80925.0,0.16341463414978816,0.08897742364286558
15,L3,26949.0,69038.0,0.13301801286493986,0.07124761448755905
16,L4,116271.0,55026.0,0.27378179419794985,0.1586020778153333
17,L5,87587.0,39436.0,0.2158191823589758,0.12096261781989338
