unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,34,4,206,897,172,893,pred_binary
Normal__N_3.jpg,32,0,171,855,139,855,pred_binary
Normal__N_5.jpg,26,0,172,614,146,614,pred_binary
Normal__N_6.jpg,11,13,131,817,120,804,pred_binary
Normal__N_9.jpg,37,0,131,523,94,523,pred_binary
Normal__N_10.jpg,52,0,187,718,135,718,pred_binary
Normal__N_11.jpg,46,0,150,649,104,649,pred_binary
Normal__N_12.jpg,17,10,134,816,117,806,pred_binary
Normal__N_13.jpg,13,0,118,671,105,671,pred_binary
Normal__N_15.jpg,39,0,141,656,102,656,pred_binary
Normal__N_16.jpg,103,13,236,800,133,787,pred_binary
Normal__N_17.jpg,22,20,133,882,111,862,pred_binary
Normal__N_18.jpg,22,0,139,762,117,762,pred_binary
Normal__N_20.jpg,52,8,163,866,111,858,pred_binary
Normal__N_21.jpg,35,9,154,683,119,674,pred_binary
Normal__N_23.jpg,68,20,183,831,115,811,pred_binary
Normal__N_26.jpg,25,0,135,671,110,671,pred_binary
Normal__N_30.jpg,44,23,162,755,118,732,pred_binary
Normal__N_34.jpg,26,0,175,823,149,823,pred_binary
Normal__N_35.jpg,45,0,152,702,107,702,pred_binary
Normal__N_36.jpg,33,0,128,534,95,534,pred_binary
Normal__N_37.jpg,55,5,164,773,109,768,pred_binary
Normal__N_40.jpg,73,17,231,690,158,673,pred_binary
Normal__N_41.jpg,12,11,120,776,108,765,pred_binary
Normal__N_42.jpg,15,8,115,689,100,681,pred_binary
Normal__N_44.jpg,46,2,156,669,110,667,pred_binary
Normal__N_48.jpg,40,3,140,611,100,608,pred_binary
Normal__N_49.jpg,0,5,117,673,117,668,pred_binary
Normal__N_50.jpg,24,0,126,631,102,631,pred_binary
Normal__N_51.jpg,8,12,118,765,110,753,pred_binary
Normal__N_53.jpg,34,0,143,616,109,616,pred_binary
Normal__N_55.jpg,28,0,134,679,106,679,pred_binary
Normal__N_56.jpg,21,0,124,661,103,661,pred_binary
Normal__N_57.jpg,36,5,137,607,101,602,pred_binary
Normal__N_58.jpg,12,6,132,722,120,716,pred_binary
Normal__N_60.jpg,18,6,127,651,109,645,pred_binary
Normal__N_61.jpg,46,4,291,681,245,677,pred_binary
Normal__N_63.jpg,9,27,138,749,129,722,pred_binary
Normal__N_67.jpg,38,6,172,755,134,749,pred_binary
Normal__N_68.jpg,17,1,120,652,103,651,pred_binary
Normal__N_69.jpg,23,14,156,825,133,811,pred_binary
Normal__N_70.jpg,39,0,238,768,199,768,pred_binary
Scoliosis__S_21.jpg,68,50,301,1024,233,974,pred_binary
Scoliosis__S_30.jpg,6,0,233,630,227,630,pred_binary
Scoliosis__S_32.JPG,93,9,396,844,303,835,pred_binary
Scoliosis__S_36.jpg,133,36,508,781,375,745,pred_binary
Scoliosis__S_37.jpg,46,0,240,718,194,718,pred_binary
Scoliosis__S_40.jpg,185,93,376,883,191,790,pred_binary
Scoliosis__S_44.jpg,186,204,837,2277,651,2073,pred_binary
Scoliosis__S_45.jpg,617,524,1167,2830,550,2306,pred_binary
Scoliosis__S_53.jpg,150,0,611,923,461,923,pred_binary
Scoliosis__S_59.jpg,45,0,495,947,450,947,pred_binary
Scoliosis__S_60.jpg,88,192,295,786,207,594,pred_binary
Scoliosis__S_62.jpg,144,74,299,839,155,765,pred_binary
Scoliosis__S_68.jpg,158,112,319,846,161,734,pred_binary
Scoliosis__S_69.jpg,8,14,191,686,183,672,pred_binary
Scoliosis__S_73.jpg,8,0,181,786,173,786,pred_binary
Scoliosis__S_74.jpg,70,87,260,799,190,712,pred_binary
Scoliosis__S_77.jpg,33,0,227,663,194,663,pred_binary
Scoliosis__S_79.jpg,53,0,283,883,230,883,pred_binary
Scoliosis__S_85.jpg,285,92,594,1103,309,1011,pred_binary
Scoliosis__S_89.jpg,0,0,272,572,272,572,pred_binary
Scoliosis__S_91.jpg,165,3,1080,2209,915,2206,pred_binary
Scoliosis__S_93.jpg,145,16,555,1156,410,1140,pred_binary
Scoliosis__S_94.jpg,164,184,1126,3039,962,2855,pred_binary
Scoliosis__S_95.jpg,581,216,1061,2448,480,2232,pred_binary
Scoliosis__S_98.jpg,322,12,1216,3008,894,2996,pred_binary
Scoliosis__S_101.jpg,59,10,728,2214,669,2204,pred_binary
Scoliosis__S_103.jpg,159,115,622,2012,463,1897,pred_binary
Scoliosis__S_104.jpg,315,122,766,2137,451,2015,pred_binary
Scoliosis__S_109.jpg,137,53,629,1510,492,1457,pred_binary
Scoliosis__S_110.jpg,430,0,1047,1732,617,1732,pred_binary
Scoliosis__S_113.jpg,361,0,809,2360,448,2360,pred_binary
Scoliosis__S_114.jpg,254,41,883,2228,629,2187,pred_binary
Scoliosis__S_118.jpg,144,210,707,1905,563,1695,pred_binary
Scoliosis__S_119.jpg,120,0,538,1656,418,1656,pred_binary
Scoliosis__S_120.jpg,156,107,548,1421,392,1314,pred_binary
Scoliosis__S_121.jpg,75,89,662,1691,587,1602,pred_binary
Scoliosis__S_124.jpg,117,223,841,2845,724,2622,pred_binary
Scoliosis__S_125.jpg,453,282,901,2325,448,2043,pred_binary
Scoliosis__S_129.jpg,390,67,1404,2055,1014,1988,pred_binary
Scoliosis__S_131.jpg,300,49,623,1573,323,1524,pred_binary
Scoliosis__S_132.jpg,143,150,665,2107,522,1957,pred_binary
Scoliosis__S_133.jpg,221,169,655,2457,434,2288,pred_binary
Scoliosis__S_134.jpg,368,0,855,2539,487,2539,pred_binary
Scoliosis__S_135.jpg,311,534,1063,2924,752,2390,pred_binary
Scoliosis__S_138.jpg,504,52,1086,2717,582,2665,pred_binary
Scoliosis__S_139.jpg,266,0,1198,1821,932,1821,pred_binary
Scoliosis__S_141.jpg,51,375,891,2457,840,2082,pred_binary
Scoliosis__S_142.jpg,81,5,965,2859,884,2854,pred_binary
Scoliosis__S_144.jpg,372,15,1560,3325,1188,3310,pred_binary
Scoliosis__S_146.jpg,467,148,1301,2599,834,2451,pred_binary
Scoliosis__S_147.jpg,575,35,1363,3048,788,3013,pred_binary
Scoliosis__S_148.jpg,247,194,999,3228,752,3034,pred_binary
Scoliosis__S_151.jpg,62,0,256,720,194,720,pred_binary
Scoliosis__S_152.jpg,90,121,247,735,157,614,pred_binary
Scoliosis__S_153.jpg,147,117,330,795,183,678,pred_binary
Scoliosis__S_154.jpg,78,101,252,582,174,481,pred_binary
Scoliosis__S_155.jpg,71,136,253,883,182,747,pred_binary
Scoliosis__S_158.jpg,20,125,322,717,302,592,pred_binary
Scoliosis__S_160.jpg,6,6,235,670,229,664,pred_binary
Scoliosis__S_166.jpg,35,10,308,654,273,644,pred_binary
Scoliosis__S_171.jpg,15,0,222,782,207,782,pred_binary
Scoliosis__S_173.jpg,23,58,214,730,191,672,pred_binary
Scoliosis__S_178.jpg,216,152,531,1032,315,880,pred_binary
Scoliosis__S_179.jpg,67,117,235,796,168,679,pred_binary
Scoliosis__S_180.jpg,11,7,204,738,193,731,pred_binary
Scoliosis__S_181.jpg,32,149,279,1004,247,855,pred_binary
Scoliosis__S_182.jpg,52,34,237,764,185,730,pred_binary
Scoliosis__S_183.jpg,87,66,347,695,260,629,pred_binary
Scoliosis__S_184.jpg,132,98,303,652,171,554,pred_binary
Scoliosis__S_185.jpg,109,108,302,730,193,622,pred_binary
Scoliosis__S_186.jpg,67,133,277,765,210,632,pred_binary
Scoliosis__S_188.jpg,74,42,283,680,209,638,pred_binary
Scoliosis__S_189.jpg,53,172,258,825,205,653,pred_binary
Scoliosis__S_190.jpg,44,246,286,885,242,639,pred_binary
Scoliosis__S_193.jpg,49,34,296,735,247,701,pred_binary
Scoliosis__S_194.jpg,46,13,169,729,123,716,pred_binary
Scoliosis__S_195.jpg,89,91,412,783,323,692,pred_binary
Scoliosis__S_196.jpg,7,0,167,660,160,660,pred_binary
Scoliosis__S_197.jpg,129,19,363,549,234,530,pred_binary
Scoliosis__S_200.jpg,156,26,329,780,173,754,pred_binary
Scoliosis__S_201.jpg,97,2,339,755,242,753,pred_binary
Scoliosis__S_203.jpg,117,208,280,789,163,581,pred_binary
Scoliosis__S_204.jpg,41,6,176,801,135,795,pred_binary
Scoliosis__S_206.jpg,26,5,210,673,184,668,pred_binary
Normal__N_2.jpg,42,0,181,746,139,746,pred_binary
Normal__N_4.jpg,34,44,144,812,110,768,pred_binary
Normal__N_8.jpg,45,27,216,858,171,831,pred_binary
Normal__N_22.jpg,15,0,160,832,145,832,pred_binary
Normal__N_29.jpg,11,10,129,755,118,745,pred_binary
Normal__N_31.jpg,62,24,161,718,99,694,pred_binary
Normal__N_33.jpg,47,7,161,706,114,699,pred_binary
Normal__N_45.jpg,56,0,192,788,136,788,pred_binary
Normal__N_46.jpg,73,4,199,715,126,711,pred_binary
Normal__N_47.jpg,45,0,147,632,102,632,pred_binary
Normal__N_62.jpg,31,0,155,644,124,644,pred_binary
Scoliosis__S_24.jpg,60,0,360,993,300,993,pred_binary
Scoliosis__S_34.jpg,100,67,365,1043,265,976,pred_binary
Scoliosis__S_46.jpg,51,2,188,805,137,803,pred_binary
Scoliosis__S_64.jpg,80,142,324,986,244,844,pred_binary
Scoliosis__S_67.jpg,5,12,205,805,200,793,pred_binary
Scoliosis__S_75.jpg,24,0,135,634,111,634,pred_binary
Scoliosis__S_76.jpg,42,6,384,855,342,849,pred_binary
Scoliosis__S_87.jpg,117,0,354,914,237,914,pred_binary
Scoliosis__S_97.jpg,340,74,847,2442,507,2368,pred_binary
Scoliosis__S_108.jpg,90,156,586,1396,496,1240,pred_binary
Scoliosis__S_122.jpg,179,0,939,1737,760,1737,pred_binary
Scoliosis__S_130.jpg,120,0,874,1740,754,1740,pred_binary
Scoliosis__S_136.jpg,252,12,1714,3688,1462,3676,pred_binary
Scoliosis__S_145.jpg,100,4,417,889,317,885,pred_binary
Scoliosis__S_157.jpg,616,208,1173,2726,557,2518,pred_binary
Scoliosis__S_161.jpg,21,16,192,703,171,687,pred_binary
Scoliosis__S_168.jpg,107,139,269,775,162,636,pred_binary
Scoliosis__S_170.jpg,45,20,214,672,169,652,pred_binary
Scoliosis__S_172.jpg,110,49,268,762,158,713,pred_binary
Scoliosis__S_187.jpg,93,0,302,698,209,698,pred_binary
Scoliosis__S_205.jpg,80,29,266,803,186,774,pred_binary
