unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,60,0,201,916,141,916,pred_binary
Normal__N_3.jpg,27,0,161,904,134,904,pred_binary
Normal__N_5.jpg,26,0,151,577,125,577,pred_binary
Normal__N_6.jpg,12,0,128,838,116,838,pred_binary
Normal__N_9.jpg,37,2,128,532,91,530,pred_binary
Normal__N_10.jpg,50,0,174,730,124,730,pred_binary
Normal__N_11.jpg,49,0,146,671,97,671,pred_binary
Normal__N_12.jpg,21,4,125,856,104,852,pred_binary
Normal__N_13.jpg,16,0,115,695,99,695,pred_binary
Normal__N_15.jpg,43,0,141,670,98,670,pred_binary
Normal__N_16.jpg,102,6,208,785,106,779,pred_binary
Normal__N_17.jpg,24,0,130,885,106,885,pred_binary
Normal__N_18.jpg,24,0,138,766,114,766,pred_binary
Normal__N_20.jpg,58,3,158,846,100,843,pred_binary
Normal__N_21.jpg,35,0,158,704,123,704,pred_binary
Normal__N_23.jpg,68,8,181,856,113,848,pred_binary
Normal__N_26.jpg,26,0,133,679,107,679,pred_binary
Normal__N_30.jpg,46,10,156,739,110,729,pred_binary
Normal__N_34.jpg,12,0,147,806,135,806,pred_binary
Normal__N_35.jpg,48,0,139,642,91,642,pred_binary
Normal__N_36.jpg,34,0,120,501,86,501,pred_binary
Normal__N_37.jpg,57,0,157,791,100,791,pred_binary
Normal__N_40.jpg,72,43,229,687,157,644,pred_binary
Normal__N_41.jpg,18,0,118,793,100,793,pred_binary
Normal__N_42.jpg,18,4,111,722,93,718,pred_binary
Normal__N_44.jpg,28,0,158,680,130,680,pred_binary
Normal__N_48.jpg,41,0,140,617,99,617,pred_binary
Normal__N_49.jpg,0,1,113,649,113,648,pred_binary
Normal__N_50.jpg,25,0,124,632,99,632,pred_binary
Normal__N_51.jpg,13,9,110,777,97,768,pred_binary
Normal__N_53.jpg,33,2,142,617,109,615,pred_binary
Normal__N_55.jpg,32,0,128,698,96,698,pred_binary
Normal__N_56.jpg,24,0,123,689,99,689,pred_binary
Normal__N_57.jpg,33,5,132,600,99,595,pred_binary
Normal__N_58.jpg,17,0,123,725,106,725,pred_binary
Normal__N_60.jpg,21,0,125,687,104,687,pred_binary
Normal__N_61.jpg,47,15,254,682,207,667,pred_binary
Normal__N_63.jpg,10,16,127,770,117,754,pred_binary
Normal__N_67.jpg,45,0,170,744,125,744,pred_binary
Normal__N_68.jpg,20,0,115,663,95,663,pred_binary
Normal__N_69.jpg,23,15,154,819,131,804,pred_binary
Normal__N_70.jpg,39,0,174,775,135,775,pred_binary
Scoliosis__S_21.jpg,70,47,309,1000,239,953,pred_binary
Scoliosis__S_30.jpg,7,0,231,607,224,607,pred_binary
Scoliosis__S_32.JPG,104,15,360,832,256,817,pred_binary
Scoliosis__S_36.jpg,139,229,294,545,155,316,pred_binary
Scoliosis__S_37.jpg,75,0,236,737,161,737,pred_binary
Scoliosis__S_40.jpg,196,123,346,849,150,726,pred_binary
Scoliosis__S_44.jpg,168,235,711,2159,543,1924,pred_binary
