class_id,class_name,pixel_count,weight
0,background,2558024.0,0.25
1,T1,29216.0,1.5704104479836563
2,T2,42549.0,1.0783123375000707
3,T3,41016.0,1.1186149709452533
4,T4,38753.0,1.1839370280569377
5,T5,44536.0,1.030202794330216
6,T6,48765.0,0.9408615123201169
7,T7,44378.0,1.0338706487063523
8,T8,53809.0,0.85266612738186
9,T9,53897.0,0.8512739419316567
10,T10,54499.0,0.8418707067705922
11,T11,55819.0,0.8219622646104463
12,T12,54657.0,0.8394370647545695
13,L1,49114.0,0.9341758286494788
14,L2,48791.0,0.9403601411795312
15,L3,44767.0,1.0248868954428598
16,L4,38286.0,1.1983783014232487
17,L5,26662.0,1.7208428343068976
