unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,69,2,204,891,135,889,pred_binary
Normal__N_3.jpg,32,0,168,852,136,852,pred_binary
Normal__N_5.jpg,24,0,143,510,119,510,pred_binary
Normal__N_6.jpg,14,11,129,831,115,820,pred_binary
Normal__N_9.jpg,37,0,131,521,94,521,pred_binary
Normal__N_10.jpg,54,0,183,718,129,718,pred_binary
Normal__N_11.jpg,46,1,145,662,99,661,pred_binary
Normal__N_12.jpg,21,18,132,848,111,830,pred_binary
Normal__N_13.jpg,19,0,121,670,102,670,pred_binary
Normal__N_15.jpg,41,0,141,668,100,668,pred_binary
Normal__N_16.jpg,109,6,244,798,135,792,pred_binary
Normal__N_17.jpg,24,11,133,901,109,890,pred_binary
Normal__N_18.jpg,36,0,141,749,105,749,pred_binary
Normal__N_20.jpg,57,8,159,868,102,860,pred_binary
Normal__N_21.jpg,36,9,154,698,118,689,pred_binary
Normal__N_23.jpg,67,20,182,841,115,821,pred_binary
Normal__N_26.jpg,27,0,135,668,108,668,pred_binary
Normal__N_30.jpg,45,28,156,755,111,727,pred_binary
Normal__N_34.jpg,25,0,169,841,144,841,pred_binary
Normal__N_35.jpg,44,1,187,699,143,698,pred_binary
Normal__N_36.jpg,32,0,142,539,110,539,pred_binary
Normal__N_37.jpg,58,3,164,775,106,772,pred_binary
Normal__N_40.jpg,77,17,231,706,154,689,pred_binary
Normal__N_41.jpg,17,11,120,776,103,765,pred_binary
Normal__N_42.jpg,17,5,113,709,96,704,pred_binary
Normal__N_44.jpg,46,0,154,689,108,689,pred_binary
Normal__N_48.jpg,40,1,138,618,98,617,pred_binary
Normal__N_49.jpg,0,7,117,657,117,650,pred_binary
Normal__N_50.jpg,24,0,127,637,103,637,pred_binary
Normal__N_51.jpg,10,15,116,764,106,749,pred_binary
Normal__N_53.jpg,38,0,143,607,105,607,pred_binary
Normal__N_55.jpg,31,0,133,693,102,693,pred_binary
Normal__N_56.jpg,26,0,124,688,98,688,pred_binary
Normal__N_57.jpg,38,8,160,605,122,597,pred_binary
Normal__N_58.jpg,18,1,124,726,106,725,pred_binary
Normal__N_60.jpg,20,2,129,664,109,662,pred_binary
Normal__N_61.jpg,48,4,291,674,243,670,pred_binary
Normal__N_63.jpg,12,34,137,814,125,780,pred_binary
Normal__N_67.jpg,44,3,174,750,130,747,pred_binary
Normal__N_68.jpg,21,0,117,650,96,650,pred_binary
Normal__N_69.jpg,17,11,158,824,141,813,pred_binary
Normal__N_70.jpg,41,0,227,771,186,771,pred_binary
Scoliosis__S_21.jpg,67,46,310,1001,243,955,pred_binary
Scoliosis__S_30.jpg,6,0,257,632,251,632,pred_binary
Scoliosis__S_32.JPG,93,2,468,919,375,917,pred_binary
Scoliosis__S_36.jpg,129,193,448,764,319,571,pred_binary
Scoliosis__S_37.jpg,70,0,237,735,167,735,pred_binary
Scoliosis__S_40.jpg,189,89,438,922,249,833,pred_binary
Scoliosis__S_44.jpg,128,272,717,2487,589,2215,pred_binary
Scoliosis__S_45.jpg,610,531,1160,2925,550,2394,pred_binary
Scoliosis__S_53.jpg,147,0,608,921,461,921,pred_binary
Scoliosis__S_59.jpg,47,0,387,951,340,951,pred_binary
Scoliosis__S_60.jpg,72,182,296,963,224,781,pred_binary
Scoliosis__S_62.jpg,144,62,301,858,157,796,pred_binary
Scoliosis__S_68.jpg,76,84,319,871,243,787,pred_binary
Scoliosis__S_69.jpg,8,13,204,823,196,810,pred_binary
Scoliosis__S_73.jpg,21,1,170,778,149,777,pred_binary
Scoliosis__S_74.jpg,0,91,273,947,273,856,pred_binary
Scoliosis__S_77.jpg,31,0,200,656,169,656,pred_binary
Scoliosis__S_79.jpg,52,0,314,957,262,957,pred_binary
Scoliosis__S_85.jpg,154,84,582,1137,428,1053,pred_binary
Scoliosis__S_89.jpg,3,0,236,607,233,607,pred_binary
Scoliosis__S_91.jpg,170,0,1017,2260,847,2260,pred_binary
