class_id,class_name,pixel_count,weight
0,background,6548197.0,0.25
1,T1,74626.0,1.5716927849648665
2,T2,108808.0,1.0779459761303225
3,T3,104963.0,1.1174332457226654
4,T4,99097.0,1.1835791776823528
5,T5,114033.0,1.0285544164477662
6,T6,124385.0,0.942952492429056
7,T7,113539.0,1.0330295825292466
8,T8,137531.0,0.8528196971649165
9,T9,138326.0,0.8479182928067618
10,T10,139518.0,0.8406739329031963
11,T11,142899.0,0.8207835308209864
12,T12,139960.0,0.8380190466618185
13,L1,125653.0,0.9334368918433155
14,L2,124566.0,0.9415823400509619
15,L3,114193.0,1.0271132711356048
16,L4,97872.0,1.19839326641724
17,L5,67948.0,1.7261603839816937
