class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,1930776.0,2011498.0,0.9356909235634215,0.8791533815498844
1,T1,42542.0,18187.0,0.48293237169255326,0.3183327906367452
2,T2,37273.0,28801.0,0.37781880922332817,0.2329078967153137
3,T3,38167.0,24580.0,0.21422538130565247,0.1199621604412244
4,T4,18649.0,26319.0,0.17866038073344023,0.09809284268764883
5,T5,25835.0,26240.0,0.19072491600209843,0.10541510116739021
6,T6,31683.0,26354.0,0.16616985717445476,0.09061354882851427
7,T7,5598.0,35131.0,0.031132608239064732,0.01581244546662146
8,T8,24131.0,29631.0,0.1171087385306144,0.06219623031054261
9,T9,37499.0,37038.0,0.10351905766124854,0.054584813041291126
10,T10,6877.0,39288.0,0.027856601342405363,0.014125038464607772
11,T11,32938.0,36804.0,0.10794069571982536,0.057049319484418305
12,T12,92849.0,43098.0,0.1777457391543929,0.09754167844752319
13,L1,77370.0,33394.0,0.20300819761652697,0.11297113172985632
14,L2,39708.0,32780.0,0.21349740647812748,0.11950579151938988
15,L3,12433.0,25620.0,0.05292618192907455,0.027182421880171073
16,L4,28168.0,20482.0,0.19338129498060883,0.10704045876514268
17,L5,26816.0,14067.0,0.23300638409037971,0.13186600223887415
