unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,46,0,201,870,155,870,pred_binary
Normal__N_3.jpg,22,0,168,868,146,868,pred_binary
Normal__N_5.jpg,27,0,135,606,108,606,pred_binary
Normal__N_6.jpg,13,1,128,812,115,811,pred_binary
Normal__N_9.jpg,37,0,130,525,93,525,pred_binary
Normal__N_10.jpg,51,0,177,708,126,708,pred_binary
Normal__N_11.jpg,50,0,145,649,95,649,pred_binary
Normal__N_12.jpg,19,12,131,804,112,792,pred_binary
Normal__N_13.jpg,15,0,116,665,101,665,pred_binary
Normal__N_15.jpg,40,0,140,644,100,644,pred_binary
Normal__N_16.jpg,107,15,220,791,113,776,pred_binary
Normal__N_17.jpg,24,17,133,871,109,854,pred_binary
Normal__N_18.jpg,22,0,138,739,116,739,pred_binary
Normal__N_20.jpg,56,0,160,844,104,844,pred_binary
Normal__N_21.jpg,36,9,156,684,120,675,pred_binary
Normal__N_23.jpg,68,15,182,817,114,802,pred_binary
Normal__N_26.jpg,26,0,135,675,109,675,pred_binary
Normal__N_30.jpg,46,15,157,731,111,716,pred_binary
Normal__N_34.jpg,25,0,165,825,140,825,pred_binary
Normal__N_35.jpg,46,0,141,664,95,664,pred_binary
Normal__N_36.jpg,33,0,120,518,87,518,pred_binary
Normal__N_37.jpg,57,0,160,761,103,761,pred_binary
Normal__N_40.jpg,38,23,231,710,193,687,pred_binary
Normal__N_41.jpg,15,3,120,759,105,756,pred_binary
Normal__N_42.jpg,16,5,111,694,95,689,pred_binary
Normal__N_44.jpg,48,0,155,673,107,673,pred_binary
Normal__N_48.jpg,42,0,138,615,96,615,pred_binary
Normal__N_49.jpg,0,2,115,673,115,671,pred_binary
Normal__N_50.jpg,23,0,124,641,101,641,pred_binary
Normal__N_51.jpg,10,0,115,757,105,757,pred_binary
Normal__N_53.jpg,34,0,141,611,107,611,pred_binary
Normal__N_55.jpg,30,0,132,662,102,662,pred_binary
Normal__N_56.jpg,21,0,123,651,102,651,pred_binary
Normal__N_57.jpg,37,0,164,603,127,603,pred_binary
Normal__N_58.jpg,12,0,123,722,111,722,pred_binary
Normal__N_60.jpg,18,3,128,645,110,642,pred_binary
Normal__N_61.jpg,40,2,261,655,221,653,pred_binary
Normal__N_63.jpg,11,29,133,745,122,716,pred_binary
Normal__N_67.jpg,43,1,172,752,129,751,pred_binary
Normal__N_68.jpg,21,0,115,655,94,655,pred_binary
Normal__N_69.jpg,23,12,154,810,131,798,pred_binary
Normal__N_70.jpg,39,0,174,765,135,765,pred_binary
Scoliosis__S_21.jpg,68,43,214,854,146,811,pred_binary
Scoliosis__S_30.jpg,5,0,233,630,228,630,pred_binary
