class_id,class_name,pixel_count,weight
0,background,12434277.0,0.25
1,T1,154696.0,1.5922573732833578
2,T2,215547.0,1.142747737697311
3,T3,206649.0,1.1919527634657912
4,T4,194886.0,1.2638970814601476
5,T5,224858.0,1.0954284331330988
6,T6,235308.0,1.0467805880694339
7,T7,223607.0,1.5421797406361124
8,T8,263939.0,1.3065222845597626
9,T9,269043.0,1.2817363219426605
10,T10,275319.0,1.252518661132792
11,T11,288962.0,1.1933824698902251
12,T12,295542.0,1.16681278892482
13,L1,273979.0,0.8990318477600192
14,L2,276060.0,0.8922547512042394
15,L3,263954.0,0.9331771695728888
16,L4,235383.0,1.0464470527499534
17,L5,183081.0,1.3453927311815115
