unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,32,8,201,874,169,866,pred_binary
Normal__N_3.jpg,35,0,167,892,132,892,pred_binary
Normal__N_5.jpg,26,0,134,518,108,518,pred_binary
Normal__N_6.jpg,12,15,129,826,117,811,pred_binary
Normal__N_9.jpg,38,0,128,532,90,532,pred_binary
Normal__N_10.jpg,55,0,177,712,122,712,pred_binary
Normal__N_11.jpg,46,3,145,660,99,657,pred_binary
Normal__N_12.jpg,20,9,133,866,113,857,pred_binary
Normal__N_13.jpg,17,0,115,691,98,691,pred_binary
Normal__N_15.jpg,41,0,140,681,99,681,pred_binary
Normal__N_16.jpg,92,16,209,785,117,769,pred_binary
Normal__N_17.jpg,23,20,131,874,108,854,pred_binary
Normal__N_18.jpg,25,0,137,778,112,778,pred_binary
Normal__N_20.jpg,37,0,160,862,123,862,pred_binary
Normal__N_21.jpg,35,12,153,711,118,699,pred_binary
Normal__N_23.jpg,68,27,182,857,114,830,pred_binary
Normal__N_26.jpg,27,0,135,676,108,676,pred_binary
Normal__N_30.jpg,46,25,156,757,110,732,pred_binary
Normal__N_34.jpg,26,8,167,838,141,830,pred_binary
Normal__N_35.jpg,44,0,137,678,93,678,pred_binary
Normal__N_36.jpg,33,0,122,528,89,528,pred_binary
Normal__N_37.jpg,58,8,162,776,104,768,pred_binary
Normal__N_40.jpg,78,24,230,725,152,701,pred_binary
Normal__N_41.jpg,17,18,119,781,102,763,pred_binary
Normal__N_42.jpg,17,11,110,697,93,686,pred_binary
Normal__N_44.jpg,10,2,152,700,142,698,pred_binary
Normal__N_48.jpg,40,8,138,613,98,605,pred_binary
Normal__N_49.jpg,0,2,113,671,113,669,pred_binary
Normal__N_50.jpg,23,0,124,643,101,643,pred_binary
Normal__N_51.jpg,13,16,115,771,102,755,pred_binary
Normal__N_53.jpg,32,0,140,593,108,593,pred_binary
Normal__N_55.jpg,31,3,136,708,105,705,pred_binary
Normal__N_56.jpg,26,0,123,699,97,699,pred_binary
Normal__N_57.jpg,36,2,130,584,94,582,pred_binary
Normal__N_58.jpg,16,7,122,720,106,713,pred_binary
Normal__N_60.jpg,21,7,126,674,105,667,pred_binary
Normal__N_61.jpg,49,8,261,666,212,658,pred_binary
Normal__N_63.jpg,14,34,133,745,119,711,pred_binary
Normal__N_67.jpg,41,6,171,759,130,753,pred_binary
Normal__N_68.jpg,21,9,115,661,94,652,pred_binary
Normal__N_69.jpg,20,12,152,815,132,803,pred_binary
Normal__N_70.jpg,41,0,212,765,171,765,pred_binary
Scoliosis__S_21.jpg,70,46,204,796,134,750,pred_binary
Scoliosis__S_30.jpg,6,0,244,633,238,633,pred_binary
Scoliosis__S_32.JPG,102,18,385,850,283,832,pred_binary
Scoliosis__S_36.jpg,129,191,352,751,223,560,pred_binary
Scoliosis__S_37.jpg,43,0,237,740,194,740,pred_binary
Scoliosis__S_40.jpg,183,81,341,863,158,782,pred_binary
Scoliosis__S_44.jpg,186,194,721,2038,535,1844,pred_binary
Scoliosis__S_45.jpg,663,510,1154,2910,491,2400,pred_binary
Scoliosis__S_53.jpg,153,0,500,911,347,911,pred_binary
Scoliosis__S_59.jpg,59,0,422,937,363,937,pred_binary
Scoliosis__S_60.jpg,91,184,295,803,204,619,pred_binary
Scoliosis__S_62.jpg,146,68,301,849,155,781,pred_binary
Scoliosis__S_68.jpg,73,88,319,856,246,768,pred_binary
Scoliosis__S_69.jpg,9,19,182,748,173,729,pred_binary
Scoliosis__S_73.jpg,8,4,169,774,161,770,pred_binary
Scoliosis__S_74.jpg,71,93,257,805,186,712,pred_binary
Scoliosis__S_77.jpg,13,0,193,621,180,621,pred_binary
Scoliosis__S_79.jpg,49,1,314,967,265,966,pred_binary
Scoliosis__S_85.jpg,282,90,576,1191,294,1101,pred_binary
Scoliosis__S_89.jpg,6,63,202,620,196,557,pred_binary
Scoliosis__S_91.jpg,170,0,1017,2251,847,2251,pred_binary
Scoliosis__S_93.jpg,148,0,574,1146,426,1146,pred_binary
Scoliosis__S_94.jpg,322,645,890,3064,568,2419,pred_binary
Scoliosis__S_95.jpg,604,606,1049,2682,445,2076,pred_binary
Scoliosis__S_98.jpg,328,18,1173,2942,845,2924,pred_binary
Scoliosis__S_101.jpg,59,86,725,2209,666,2123,pred_binary
Scoliosis__S_103.jpg,85,110,622,2370,537,2260,pred_binary
Scoliosis__S_104.jpg,404,168,761,2198,357,2030,pred_binary
Scoliosis__S_109.jpg,67,202,612,1771,545,1569,pred_binary
Scoliosis__S_110.jpg,439,43,1032,1776,593,1733,pred_binary
Scoliosis__S_113.jpg,357,0,809,2392,452,2392,pred_binary
Scoliosis__S_114.jpg,190,79,870,2652,680,2573,pred_binary
Scoliosis__S_118.jpg,144,191,707,1974,563,1783,pred_binary
Scoliosis__S_119.jpg,114,0,558,1796,444,1796,pred_binary
Scoliosis__S_120.jpg,96,118,570,1727,474,1609,pred_binary
Scoliosis__S_121.jpg,78,169,673,1934,595,1765,pred_binary
Scoliosis__S_124.jpg,138,217,841,2886,703,2669,pred_binary
Scoliosis__S_125.jpg,254,701,887,2649,633,1948,pred_binary
Scoliosis__S_129.jpg,190,220,1290,2511,1100,2291,pred_binary
Scoliosis__S_131.jpg,277,0,623,1585,346,1585,pred_binary
Scoliosis__S_132.jpg,146,150,656,2137,510,1987,pred_binary
Scoliosis__S_133.jpg,254,257,659,2563,405,2306,pred_binary
Scoliosis__S_134.jpg,55,18,859,2545,804,2527,pred_binary
Scoliosis__S_135.jpg,197,423,1203,3606,1006,3183,pred_binary
Scoliosis__S_138.jpg,510,40,1016,2743,506,2703,pred_binary
Scoliosis__S_139.jpg,234,0,1219,2127,985,2127,pred_binary
Scoliosis__S_141.jpg,129,26,883,2710,754,2684,pred_binary
Scoliosis__S_142.jpg,86,0,946,2842,860,2842,pred_binary
Scoliosis__S_144.jpg,242,31,1510,3332,1268,3301,pred_binary
Scoliosis__S_146.jpg,467,109,1206,2607,739,2498,pred_binary
Scoliosis__S_147.jpg,587,0,1137,2396,550,2396,pred_binary
Scoliosis__S_148.jpg,252,128,999,3172,747,3044,pred_binary
Scoliosis__S_151.jpg,64,0,246,739,182,739,pred_binary
Scoliosis__S_152.jpg,96,113,368,768,272,655,pred_binary
Scoliosis__S_153.jpg,135,121,327,815,192,694,pred_binary
