class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3819558.0,4035046.0,0.9280297262599199,0.865723377778063
1,T1,74682.0,44880.0,0.5532359779900534,0.3823954491394005
2,T2,65203.0,69508.0,0.4630505303986827,0.30127895520467846
3,T3,65264.0,59032.0,0.3618137349604025,0.22086239073547922
4,T4,80241.0,67002.0,0.3108738615804427,0.18404419570278843
5,T5,112938.0,62946.0,0.2681994951259455,0.15486743096327682
6,T6,61632.0,62928.0,0.13079640334673415,0.06997440171225133
7,T7,64547.0,86926.0,0.20621496900961744,0.11496080380468175
8,T8,132829.0,73685.0,0.2063298372061636,0.11503220686297624
9,T9,63251.0,87752.0,0.13540128342393593,0.07261684899081818
10,T10,36469.0,95060.0,0.06444206221392665,0.033293791398973274
11,T11,65140.0,86246.0,0.14525781776950802,0.07831698613815474
12,T12,94782.0,99613.0,0.1512178811227078,0.0817932408494199
13,L1,64565.0,78402.0,0.1401861968206636,0.07537646864835816
14,L2,91161.0,77106.0,0.1532207741318665,0.08296648131575683
15,L3,103918.0,67175.0,0.23465600580248955,0.1329236718616007
16,L4,132678.0,52168.0,0.2212977289245031,0.12441527316172576
17,L5,114022.0,37405.0,0.2024605915774435,0.11263207395323493
