class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3793573.0,4030971.0,0.9288203887664344,0.8671005114602824
1,T1,75877.0,45200.0,0.5446451431771133,0.37423528744822393
2,T2,61439.0,72796.0,0.43574328603243756,0.278562516079984
3,T3,78898.0,59623.0,0.3265208885343989,0.19511500699536596
4,T4,69912.0,66737.0,0.2945502711377723,0.17271120113304805
5,T5,118335.0,63115.0,0.2738936346140871,0.15867714766087906
6,T6,62369.0,63126.0,0.1332483365940217,0.07137978726013473
7,T7,46437.0,87665.0,0.1368510536819969,0.07345148328551743
8,T8,152244.0,74016.0,0.22178909219825957,0.12472597667073591
9,T9,56365.0,86921.0,0.13882724062965798,0.07459127044341839
10,T10,24091.0,95385.0,0.04364056380324383,0.022307027534912535
11,T11,47795.0,88074.0,0.12144050519896782,0.06464554651686155
12,T12,95644.0,101537.0,0.12541776337920277,0.06690438057815934
13,L1,78983.0,80394.0,0.13131129335392616,0.0702692176030953
14,L2,122642.0,77060.0,0.15547165276684524,0.08428802571922657
15,L3,96720.0,63256.0,0.2413737060606505,0.13725127782853896
16,L4,128339.0,49709.0,0.26026689432478733,0.14960162192726145
17,L5,133217.0,37295.0,0.19509477339310374,0.10809142248709641
