unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,28,8,205,902,177,894,pred_binary
Normal__N_3.jpg,25,0,167,910,142,910,pred_binary
Normal__N_5.jpg,25,0,119,523,94,523,pred_binary
Normal__N_6.jpg,10,13,131,826,121,813,pred_binary
Normal__N_9.jpg,37,1,129,541,92,540,pred_binary
Normal__N_10.jpg,55,0,182,718,127,718,pred_binary
Normal__N_11.jpg,46,0,147,656,101,656,pred_binary
Normal__N_12.jpg,18,34,135,848,117,814,pred_binary
Normal__N_13.jpg,13,0,117,673,104,673,pred_binary
Normal__N_15.jpg,38,1,141,664,103,663,pred_binary
Normal__N_16.jpg,93,18,235,802,142,784,pred_binary
Normal__N_17.jpg,21,22,133,901,112,879,pred_binary
Normal__N_18.jpg,20,7,135,771,115,764,pred_binary
Normal__N_20.jpg,52,15,161,870,109,855,pred_binary
Normal__N_21.jpg,33,12,152,707,119,695,pred_binary
Normal__N_23.jpg,67,21,182,838,115,817,pred_binary
Normal__N_26.jpg,25,0,135,673,110,673,pred_binary
Normal__N_30.jpg,43,25,157,755,114,730,pred_binary
Normal__N_34.jpg,26,0,175,836,149,836,pred_binary
Normal__N_35.jpg,43,6,139,695,96,689,pred_binary
Normal__N_36.jpg,31,0,141,534,110,534,pred_binary
Normal__N_37.jpg,49,7,163,776,114,769,pred_binary
Normal__N_40.jpg,42,22,192,685,150,663,pred_binary
Normal__N_41.jpg,13,16,121,794,108,778,pred_binary
Normal__N_42.jpg,15,11,113,698,98,687,pred_binary
Normal__N_44.jpg,45,2,152,679,107,677,pred_binary
Normal__N_48.jpg,27,1,137,609,110,608,pred_binary
Normal__N_49.jpg,0,10,113,674,113,664,pred_binary
Normal__N_50.jpg,23,0,124,641,101,641,pred_binary
Normal__N_51.jpg,11,15,118,768,107,753,pred_binary
Normal__N_53.jpg,35,0,143,610,108,610,pred_binary
Normal__N_55.jpg,26,0,133,676,107,676,pred_binary
Normal__N_56.jpg,19,1,124,678,105,677,pred_binary
Normal__N_57.jpg,36,12,157,630,121,618,pred_binary
Normal__N_58.jpg,10,7,131,722,121,715,pred_binary
Normal__N_60.jpg,18,9,125,659,107,650,pred_binary
Normal__N_61.jpg,45,4,264,698,219,694,pred_binary
Normal__N_63.jpg,11,43,137,779,126,736,pred_binary
Normal__N_67.jpg,39,6,170,750,131,744,pred_binary
Normal__N_68.jpg,22,9,117,648,95,639,pred_binary
Normal__N_69.jpg,21,27,156,822,135,795,pred_binary
Normal__N_70.jpg,40,0,217,765,177,765,pred_binary
Scoliosis__S_21.jpg,53,52,359,1018,306,966,pred_binary
Scoliosis__S_30.jpg,6,0,257,633,251,633,pred_binary
Scoliosis__S_32.JPG,104,15,481,844,377,829,pred_binary
Scoliosis__S_36.jpg,120,204,459,781,339,577,pred_binary
Scoliosis__S_37.jpg,70,0,236,730,166,730,pred_binary
Scoliosis__S_40.jpg,170,83,432,887,262,804,pred_binary
Scoliosis__S_44.jpg,186,170,721,2224,535,2054,pred_binary
Scoliosis__S_45.jpg,663,568,1167,2932,504,2364,pred_binary
Scoliosis__S_53.jpg,159,0,534,951,375,951,pred_binary
Scoliosis__S_59.jpg,47,0,499,937,452,937,pred_binary
Scoliosis__S_60.jpg,86,198,326,883,240,685,pred_binary
Scoliosis__S_62.jpg,147,78,301,845,154,767,pred_binary
Scoliosis__S_68.jpg,158,108,319,868,161,760,pred_binary
Scoliosis__S_69.jpg,11,22,189,728,178,706,pred_binary
Scoliosis__S_73.jpg,4,0,179,779,175,779,pred_binary
Scoliosis__S_74.jpg,70,104,290,949,220,845,pred_binary
Scoliosis__S_77.jpg,33,0,200,663,167,663,pred_binary
Scoliosis__S_79.jpg,54,7,293,912,239,905,pred_binary
Scoliosis__S_85.jpg,288,84,591,1140,303,1056,pred_binary
Scoliosis__S_89.jpg,0,0,259,623,259,623,pred_binary
Scoliosis__S_91.jpg,165,0,1056,2195,891,2195,pred_binary
Scoliosis__S_93.jpg,110,0,571,1151,461,1151,pred_binary
Scoliosis__S_94.jpg,322,658,1126,3020,804,2362,pred_binary
Scoliosis__S_95.jpg,598,216,1055,2472,457,2256,pred_binary
Scoliosis__S_98.jpg,587,12,1216,2966,629,2954,pred_binary
Scoliosis__S_101.jpg,59,10,721,2204,662,2194,pred_binary
Scoliosis__S_103.jpg,155,125,724,2041,569,1916,pred_binary
Scoliosis__S_104.jpg,396,137,766,2172,370,2035,pred_binary
Scoliosis__S_109.jpg,140,57,626,1535,486,1478,pred_binary
Scoliosis__S_110.jpg,430,0,1032,1728,602,1728,pred_binary
Scoliosis__S_113.jpg,357,2,801,2392,444,2390,pred_binary
Scoliosis__S_114.jpg,254,24,888,2255,634,2231,pred_binary
