class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3763747.0,3920169.0,0.9382372217499595,0.8836599294772263
1,T1,76429.0,48287.0,0.5152185766099361,0.34699961118776734
2,T2,58103.0,63731.0,0.5223993302401432,0.35354567775767914
3,T3,96303.0,58434.0,0.42631044934678636,0.2708986973793806
4,T4,92157.0,59898.0,0.283726283257481,0.16531528770450543
5,T5,135625.0,59670.0,0.14822704114724786,0.08004601235984733
6,T6,26690.0,67723.0,0.05173016428826825,0.026551847875672205
7,T7,64082.0,77347.0,0.12195518600059425,0.06493731411419044
8,T8,169627.0,86938.0,0.1578001676021367,0.08565855062547854
9,T9,52248.0,82311.0,0.1480242867504364,0.07992776886773735
10,T10,80478.0,84269.0,0.1260720984350181,0.06727692049165418
11,T11,15230.0,89831.0,0.08002969704190871,0.04168277859700683
12,T12,136864.0,96254.0,0.2859067081937649,0.16679763555696747
13,L1,116512.0,92926.0,0.2606403804502495,0.14984847154366956
14,L2,109305.0,98331.0,0.15699589666937816,0.08518477869369132
15,L3,909.0,96227.0,0.010933124701336961,0.005496609916614083
16,L4,156647.0,89595.0,0.4634871386706431,0.30164872051411296
17,L5,91924.0,70939.0,0.4178112892466808,0.2640717168638306
