unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,35,0,206,895,171,895,pred_binary
Normal__N_2.jpg,43,0,188,751,145,751,pred_binary
Normal__N_3.jpg,31,0,169,910,138,910,pred_binary
Normal__N_4.jpg,34,54,142,848,108,794,pred_binary
Normal__N_6.jpg,10,24,132,876,122,852,pred_binary
Normal__N_7.jpg,34,0,174,910,140,910,pred_binary
Normal__N_8.jpg,31,40,192,858,161,818,pred_binary
Normal__N_10.jpg,54,0,180,706,126,706,pred_binary
Normal__N_11.jpg,50,0,147,669,97,669,pred_binary
Normal__N_12.jpg,19,0,135,848,116,848,pred_binary
Normal__N_17.jpg,23,15,169,853,146,838,pred_binary
Normal__N_22.jpg,20,0,159,821,139,821,pred_binary
Normal__N_23.jpg,68,23,183,833,115,810,pred_binary
Normal__N_25.jpg,25,0,134,796,109,796,pred_binary
Normal__N_26.jpg,26,0,137,679,111,679,pred_binary
Normal__N_29.jpg,9,5,128,777,119,772,pred_binary
Normal__N_30.jpg,44,28,159,750,115,722,pred_binary
Normal__N_31.jpg,63,22,163,722,100,700,pred_binary
Normal__N_33.jpg,47,13,151,716,104,703,pred_binary
Normal__N_34.jpg,24,0,174,861,150,861,pred_binary
Normal__N_35.jpg,42,0,161,712,119,712,pred_binary
Normal__N_36.jpg,33,0,125,526,92,526,pred_binary
Normal__N_37.jpg,53,0,187,775,134,775,pred_binary
Normal__N_40.jpg,78,16,232,706,154,690,pred_binary
Normal__N_41.jpg,12,0,120,785,108,785,pred_binary
Normal__N_42.jpg,15,12,117,701,102,689,pred_binary
Normal__N_44.jpg,47,0,160,677,113,677,pred_binary
Normal__N_46.jpg,75,0,187,707,112,707,pred_binary
Normal__N_49.jpg,0,5,119,683,119,678,pred_binary
Normal__N_51.jpg,10,19,120,784,110,765,pred_binary
Normal__N_53.jpg,33,0,143,604,110,604,pred_binary
Normal__N_54.jpg,27,6,133,689,106,683,pred_binary
Normal__N_55.jpg,29,0,139,685,110,685,pred_binary
Normal__N_56.jpg,19,0,126,677,107,677,pred_binary
Normal__N_57.jpg,25,7,135,627,110,620,pred_binary
Normal__N_61.jpg,46,1,267,681,221,680,pred_binary
Normal__N_63.jpg,12,7,141,814,129,807,pred_binary
Normal__N_64.jpg,35,8,160,888,125,880,pred_binary
Normal__N_66.jpg,52,0,151,617,99,617,pred_binary
Normal__N_68.jpg,20,6,120,659,100,653,pred_binary
Normal__N_69.jpg,20,11,155,845,135,834,pred_binary
Normal__N_70.jpg,38,0,209,765,171,765,pred_binary
Scoliosis__S_21.jpg,70,37,234,806,164,769,pred_binary
Scoliosis__S_24.jpg,64,0,354,1019,290,1019,pred_binary
Scoliosis__S_25.jpg,135,150,323,939,188,789,pred_binary
Scoliosis__S_30.jpg,4,0,233,618,229,618,pred_binary
Scoliosis__S_32.JPG,102,20,380,813,278,793,pred_binary
Scoliosis__S_34.jpg,100,70,408,1071,308,1001,pred_binary
Scoliosis__S_36.jpg,140,42,457,755,317,713,pred_binary
Scoliosis__S_40.jpg,144,77,337,846,193,769,pred_binary
Scoliosis__S_44.jpg,182,243,742,2258,560,2015,pred_binary
Scoliosis__S_46.jpg,44,0,186,825,142,825,pred_binary
Scoliosis__S_60.jpg,91,186,298,793,207,607,pred_binary
Scoliosis__S_62.jpg,147,60,301,833,154,773,pred_binary
Scoliosis__S_67.jpg,5,2,188,726,183,724,pred_binary
Scoliosis__S_68.jpg,160,98,322,842,162,744,pred_binary
Scoliosis__S_69.jpg,8,4,191,728,183,724,pred_binary
Scoliosis__S_73.jpg,3,0,179,781,176,781,pred_binary
Scoliosis__S_74.jpg,70,89,260,779,190,690,pred_binary
Scoliosis__S_76.jpg,135,2,351,722,216,720,pred_binary
Scoliosis__S_82.jpg,148,136,295,777,147,641,pred_binary
Scoliosis__S_85.jpg,320,76,579,1103,259,1027,pred_binary
Scoliosis__S_87.jpg,120,0,426,893,306,893,pred_binary
Scoliosis__S_89.jpg,4,0,224,625,220,625,pred_binary
Scoliosis__S_90.jpg,37,19,227,932,190,913,pred_binary
Scoliosis__S_91.jpg,69,3,1037,2209,968,2206,pred_binary
Scoliosis__S_95.jpg,551,78,1079,2460,528,2382,pred_binary
Scoliosis__S_97.jpg,290,53,785,1985,495,1932,pred_binary
Scoliosis__S_98.jpg,661,6,1173,3026,512,3020,pred_binary
Scoliosis__S_101.jpg,59,5,709,2179,650,2174,pred_binary
Scoliosis__S_102.jpg,35,13,875,2050,840,2037,pred_binary
Scoliosis__S_106.jpg,184,164,838,2471,654,2307,pred_binary
Scoliosis__S_109.jpg,143,10,631,1510,488,1500,pred_binary
Scoliosis__S_110.jpg,454,0,1018,1681,564,1681,pred_binary
Scoliosis__S_111.jpg,195,209,588,1954,393,1745,pred_binary
Scoliosis__S_114.jpg,254,0,951,2217,697,2217,pred_binary
Scoliosis__S_115.jpg,130,386,906,3042,776,2656,pred_binary
Scoliosis__S_118.jpg,141,140,734,1984,593,1844,pred_binary
Scoliosis__S_120.jpg,156,89,551,1502,395,1413,pred_binary
Scoliosis__S_122.jpg,250,0,939,1803,689,1803,pred_binary
Scoliosis__S_124.jpg,307,229,879,2481,572,2252,pred_binary
Scoliosis__S_125.jpg,448,240,865,2379,417,2139,pred_binary
Scoliosis__S_127.jpg,60,0,978,2916,918,2916,pred_binary
Scoliosis__S_129.jpg,424,67,1196,1993,772,1926,pred_binary
Scoliosis__S_131.jpg,296,102,615,1649,319,1547,pred_binary
Scoliosis__S_133.jpg,319,550,671,2504,352,1954,pred_binary
Scoliosis__S_134.jpg,364,0,900,2653,536,2653,pred_binary
Scoliosis__S_136.jpg,1053,0,1590,2608,537,2608,pred_binary
Scoliosis__S_138.jpg,499,122,1051,2724,552,2602,pred_binary
Scoliosis__S_139.jpg,277,0,871,1821,594,1821,pred_binary
Scoliosis__S_140.jpg,192,0,1136,2304,944,2304,pred_binary
Scoliosis__S_141.jpg,350,403,930,2255,580,1852,pred_binary
Scoliosis__S_144.jpg,503,46,1520,3234,1017,3188,pred_binary
Scoliosis__S_146.jpg,467,187,1235,2553,768,2366,pred_binary
Scoliosis__S_151.jpg,63,0,252,710,189,710,pred_binary
Scoliosis__S_155.jpg,87,138,253,716,166,578,pred_binary
Scoliosis__S_160.jpg,5,6,232,675,227,669,pred_binary
Scoliosis__S_162.jpg,8,16,201,730,193,714,pred_binary
Scoliosis__S_164.jpg,10,0,197,732,187,732,pred_binary
Scoliosis__S_166.jpg,36,15,308,684,272,669,pred_binary
Scoliosis__S_167.jpg,92,112,274,741,182,629,pred_binary
Scoliosis__S_172.jpg,110,35,268,763,158,728,pred_binary
Scoliosis__S_173.jpg,23,68,214,754,191,686,pred_binary
Scoliosis__S_174.jpg,9,0,341,761,332,761,pred_binary
Scoliosis__S_176.jpg,25,4,299,734,274,730,pred_binary
Scoliosis__S_178.jpg,216,104,460,1012,244,908,pred_binary
Scoliosis__S_179.jpg,72,111,237,817,165,706,pred_binary
Scoliosis__S_180.jpg,30,9,204,764,174,755,pred_binary
Scoliosis__S_182.jpg,58,38,237,766,179,728,pred_binary
Scoliosis__S_183.jpg,87,36,473,713,386,677,pred_binary
Scoliosis__S_184.jpg,149,92,316,620,167,528,pred_binary
Scoliosis__S_187.jpg,95,0,249,532,154,532,pred_binary
Scoliosis__S_189.jpg,57,164,257,819,200,655,pred_binary
Scoliosis__S_192.jpg,51,0,176,819,125,819,pred_binary
Scoliosis__S_193.jpg,56,47,217,643,161,596,pred_binary
Scoliosis__S_194.jpg,47,11,170,716,123,705,pred_binary
Scoliosis__S_195.jpg,92,91,339,797,247,706,pred_binary
Scoliosis__S_196.jpg,7,0,166,673,159,673,pred_binary
Scoliosis__S_197.jpg,173,22,354,535,181,513,pred_binary
Scoliosis__S_198.jpg,154,77,303,689,149,612,pred_binary
Scoliosis__S_200.jpg,163,34,335,782,172,748,pred_binary
Scoliosis__S_201.jpg,108,4,343,765,235,761,pred_binary
Scoliosis__S_202.jpg,19,0,174,660,155,660,pred_binary
Scoliosis__S_204.jpg,38,0,174,823,136,823,pred_binary
Scoliosis__S_205.jpg,82,57,276,785,194,728,pred_binary
