class_id,class_name,pixel_count,weight
0,background,12385333.0,0.25
1,T1,155359.0,1.6075557112870384
2,T2,240851.0,1.0369408794227262
3,T3,208995.0,1.1949962810107564
4,T4,214660.0,1.1634596466497857
5,T5,225275.0,1.1086372111856309
6,T6,231867.0,1.0771185539548231
7,T7,253362.0,0.9857368024796259
8,T8,273389.0,0.9135270539408791
9,T9,288153.0,0.8667209702826033
10,T10,285196.0,0.875707400348683
11,T11,287157.0,0.8697271797304018
12,T12,271940.0,0.9183946743761234
13,L1,266192.0,0.938225971290809
14,L2,272610.0,0.9161375142138697
15,L3,251098.0,0.9946245997572382
16,L4,226466.0,1.1028068131633137
17,L5,177187.0,1.40951789775685
