class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3876419.0,4030971.0,0.9240573691192765,0.8588351670412928
1,T1,72149.0,45200.0,0.5657483233809768,0.39445540319658656
2,T2,63965.0,72796.0,0.4488852816267146,0.2893952821894915
3,T3,68887.0,59623.0,0.3386506886675072,0.20384074942197808
4,T4,71007.0,66737.0,0.2899727029904027,0.16957197320973763
5,T5,124488.0,63115.0,0.27917464006823356,0.1622329880608971
6,T6,36514.0,63126.0,0.1066238458540082,0.056314137911793814
7,T7,80078.0,87665.0,0.2072098388653642,0.11557952702032681
8,T8,109069.0,74016.0,0.20823114947041957,0.11621540882000564
9,T9,30142.0,86921.0,0.10286768663793969,0.05422272654442263
10,T10,35235.0,95385.0,0.06948399939466021,0.03599244936599997
11,T11,82513.0,88074.0,0.17521851020783988,0.09602163940905396
12,T12,46938.0,101537.0,0.09309311332484867,0.04881890876883375
13,L1,83108.0,80394.0,0.169661533197333,0.09269407613951097
14,L2,68395.0,77060.0,0.08684472861650101,0.045393455472258724
15,L3,132236.0,63256.0,0.2513350929999625,0.14372970601641813
16,L4,132280.0,49709.0,0.2781926380205496,0.16157012925379563
17,L5,129457.0,37295.0,0.19254941470451598,0.10653094268599098
