class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,3809004.0,4030971.0,0.9239567728213516,0.8586613896952404
1,T1,70031.0,45200.0,0.5591898013593635,0.38810788672390945
2,T2,64635.0,72796.0,0.4614679366412129,0.2999404091968489
3,T3,72206.0,59623.0,0.3612103558446077,0.2204128865097166
4,T4,82402.0,66737.0,0.3256559317192307,0.19449761724244527
5,T5,130762.0,63115.0,0.2725645641346185,0.15778567376813002
6,T6,44445.0,63126.0,0.11188889199587354,0.059259696916297316
7,T7,62447.0,87665.0,0.17772063526448437,0.09752655861100125
8,T8,109540.0,74016.0,0.17327682015748175,0.09485663841926564
9,T9,35706.0,86921.0,0.08724016734416369,0.045609577251951694
10,T10,44460.0,95385.0,0.08493689442536424,0.04435200813223939
11,T11,84453.0,88074.0,0.17706214100299048,0.09713010245211773
12,T12,43735.0,101537.0,0.09966132496902595,0.052443980794067764
13,L1,98255.0,80394.0,0.13124058909296307,0.07022872411086213
14,L2,80700.0,77060.0,0.11919371197312884,0.06337373111619614
15,L3,147592.0,63256.0,0.2436541963915064,0.13872791787072478
16,L4,138003.0,49709.0,0.26547050801618716,0.1530504435050428
17,L5,124504.0,37295.0,0.1871457796451947,0.10323266898653861
