unique_sample_id,bbox_x0,bbox_y0,bbox_x1,bbox_y1,bbox_width,bbox_height,roi_source
Normal__N_1.jpg,67,10,204,905,137,895,pred_binary
Normal__N_3.jpg,34,0,174,861,140,861,pred_binary
Normal__N_5.jpg,26,0,120,514,94,514,pred_binary
Normal__N_6.jpg,10,25,131,825,121,800,pred_binary
Normal__N_9.jpg,37,0,130,523,93,523,pred_binary
Normal__N_10.jpg,57,4,177,723,120,719,pred_binary
Normal__N_11.jpg,51,2,149,653,98,651,pred_binary
Normal__N_12.jpg,18,9,134,821,116,812,pred_binary
Normal__N_13.jpg,12,0,117,670,105,670,pred_binary
Normal__N_15.jpg,39,2,143,661,104,659,pred_binary
Normal__N_16.jpg,103,27,218,796,115,769,pred_binary
Normal__N_17.jpg,24,25,134,876,110,851,pred_binary
Normal__N_18.jpg,21,0,141,749,120,749,pred_binary
Normal__N_20.jpg,54,10,162,848,108,838,pred_binary
Normal__N_21.jpg,30,19,153,689,123,670,pred_binary
Normal__N_23.jpg,66,39,182,833,116,794,pred_binary
Normal__N_26.jpg,25,0,137,677,112,677,pred_binary
Normal__N_30.jpg,43,29,158,744,115,715,pred_binary
Normal__N_34.jpg,20,0,171,829,151,829,pred_binary
Normal__N_35.jpg,41,9,144,686,103,677,pred_binary
Normal__N_36.jpg,29,0,125,532,96,532,pred_binary
Normal__N_37.jpg,50,10,162,775,112,765,pred_binary
Normal__N_40.jpg,69,41,195,711,126,670,pred_binary
Normal__N_41.jpg,12,17,121,779,109,762,pred_binary
Normal__N_42.jpg,15,14,113,687,98,673,pred_binary
Normal__N_44.jpg,46,11,152,680,106,669,pred_binary
Normal__N_48.jpg,40,15,138,616,98,601,pred_binary
Normal__N_49.jpg,0,11,117,675,117,664,pred_binary
Normal__N_50.jpg,23,0,125,639,102,639,pred_binary
Normal__N_51.jpg,11,28,121,772,110,744,pred_binary
Normal__N_53.jpg,39,7,144,626,105,619,pred_binary
Normal__N_55.jpg,26,3,133,684,107,681,pred_binary
Normal__N_56.jpg,20,0,125,678,105,678,pred_binary
Normal__N_57.jpg,41,32,140,624,99,592,pred_binary
Normal__N_58.jpg,8,1,131,733,123,732,pred_binary
Normal__N_60.jpg,18,10,125,664,107,654,pred_binary
Normal__N_61.jpg,40,22,260,670,220,648,pred_binary
Normal__N_63.jpg,5,25,136,770,131,745,pred_binary
Normal__N_67.jpg,35,17,171,759,136,742,pred_binary
Normal__N_68.jpg,20,0,117,663,97,663,pred_binary
Normal__N_69.jpg,17,17,157,841,140,824,pred_binary
Normal__N_70.jpg,36,0,175,767,139,767,pred_binary
Scoliosis__S_21.jpg,10,60,304,1026,294,966,pred_binary
Scoliosis__S_30.jpg,4,6,232,618,228,612,pred_binary
Scoliosis__S_32.JPG,104,62,396,830,292,768,pred_binary
Scoliosis__S_36.jpg,135,213,359,759,224,546,pred_binary
Scoliosis__S_37.jpg,75,0,237,721,162,721,pred_binary
Scoliosis__S_40.jpg,186,123,432,869,246,746,pred_binary
Scoliosis__S_44.jpg,186,256,732,2006,546,1750,pred_binary
Scoliosis__S_45.jpg,659,582,1158,2917,499,2335,pred_binary
Scoliosis__S_53.jpg,153,12,512,933,359,921,pred_binary
Scoliosis__S_59.jpg,42,0,390,966,348,966,pred_binary
Scoliosis__S_60.jpg,90,204,300,799,210,595,pred_binary
Scoliosis__S_62.jpg,145,85,301,831,156,746,pred_binary
Scoliosis__S_68.jpg,156,133,318,858,162,725,pred_binary
Scoliosis__S_69.jpg,6,14,191,675,185,661,pred_binary
Scoliosis__S_73.jpg,2,0,190,782,188,782,pred_binary
Scoliosis__S_74.jpg,69,96,280,929,211,833,pred_binary
Scoliosis__S_77.jpg,28,0,204,659,176,659,pred_binary
Scoliosis__S_79.jpg,51,0,303,829,252,829,pred_binary
Scoliosis__S_85.jpg,318,126,588,1109,270,983,pred_binary
Scoliosis__S_89.jpg,0,0,252,625,252,625,pred_binary
Scoliosis__S_91.jpg,162,0,1035,2205,873,2205,pred_binary
Scoliosis__S_93.jpg,142,10,588,1181,446,1171,pred_binary
Scoliosis__S_94.jpg,324,744,885,3151,561,2407,pred_binary
Scoliosis__S_95.jpg,598,258,1061,2454,463,2196,pred_binary
Scoliosis__S_98.jpg,517,0,1220,3080,703,3080,pred_binary
Scoliosis__S_101.jpg,54,51,719,2214,665,2163,pred_binary
Scoliosis__S_103.jpg,153,183,733,2041,580,1858,pred_binary
Scoliosis__S_104.jpg,388,422,766,2191,378,1769,pred_binary
Scoliosis__S_109.jpg,142,67,629,1515,487,1448,pred_binary
Scoliosis__S_110.jpg,393,0,1032,1794,639,1794,pred_binary
Scoliosis__S_113.jpg,356,12,826,2394,470,2382,pred_binary
Scoliosis__S_114.jpg,254,57,894,2266,640,2209,pred_binary
Scoliosis__S_118.jpg,144,277,712,1941,568,1664,pred_binary
Scoliosis__S_119.jpg,173,0,543,1463,370,1463,pred_binary
