class_id,class_name,pixel_count,weight
0,background,6994188.0,0.25
1,T1,86932.0,1.5939055321347648
2,T2,121626.0,1.1392415743306477
3,T3,116165.0,1.192798138161575
4,T4,109548.0,1.2648464209254333
5,T5,126482.0,1.0955028835687242
6,T6,132556.0,1.0453045936776861
7,T7,125291.0,1.1059165919303011
8,T8,148290.0,0.9343947381451168
9,T9,151455.0,0.9148684145095202
10,T10,154718.0,0.8955738551399279
11,T11,162519.0,0.8525858251622233
12,T12,166223.0,0.8335873839332666
13,L1,153944.0,0.9000766234444952
14,L2,155388.0,0.8917123311937818
15,L3,148918.0,0.9304543152576543
16,L4,132198.0,1.0481353403193647
17,L5,103305.0,1.341284504327374
