class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,2238108.0,2194857.0,0.9204358707998098,0.8525995315181145
1,T1,43597.0,27896.0,0.5841411047293562,0.412570141480033
2,T2,39724.0,43703.0,0.4907523943149011,0.3251636063389484
3,T3,35076.0,36516.0,0.41105151414388413,0.2586940469204491
4,T4,49559.0,41465.0,0.38348127966927975,0.23722662463148217
5,T5,62153.0,38723.0,0.334569174042046,0.20089046559920848
6,T6,112403.0,39138.0,0.2182115731107871,0.12246772390229789
7,T7,9185.0,52957.0,0.04248334461326505,0.02170267339085031
8,T8,16501.0,45540.0,0.060701793990092005,0.031300907626063024
9,T9,52211.0,54502.0,0.19461546391541223,0.10779723656315547
10,T10,23250.0,58733.0,0.11002280961772536,0.05821382934624691
11,T11,30186.0,55450.0,0.16182446635571696,0.08803537170660762
12,T12,83.0,64048.0,0.0005301648344711579,0.00026515271235198003
13,L1,71865.0,51149.0,0.15269806689358367,0.0826600482381699
14,L2,83892.0,49287.0,0.2053627073397055,0.11443131611398422
15,L3,194.0,39492.0,0.0032253187773213393,0.0016152642723331668
16,L4,1406.0,31844.0,0.03524812032976698,0.017940240049658943
17,L5,79727.0,23820.0,0.27846292022677177,0.16175249636304553
