epoch,train_loss,val_loss,val_last_acc,val_last_within1_acc,val_last_mae,val_overprediction_rate,val_underprediction_rate,lr,epoch_seconds
1,3.304346621982635,2.870219349861145,0.09375,0.53125,2.71875,0.46875,0.4375,0.0006,0.9469625949859619
2,2.61294386500404,2.77253794670105,0.40625,0.5,2.5,0.46875,0.125,0.0006,0.9530806541442871
3,2.4917676600198897,2.9892466962337494,0.375,0.5,2.6875,0.53125,0.09375,0.0006,0.9600348472595215
4,2.353558922570849,2.434036076068878,0.40625,0.53125,2.40625,0.46875,0.125,0.0006,0.9523870944976807
5,2.270285481498355,2.418576657772064,0.375,0.5,2.40625,0.46875,0.15625,0.0003,0.9455864429473877
6,2.1701875376322914,2.3310501873493195,0.375,0.53125,2.3125,0.46875,0.15625,0.0003,0.9527788162231445
7,2.134900240671067,2.3352177143096924,0.375,0.5625,2.25,0.4375,0.1875,0.0003,0.9534196853637695
8,2.0318907101949057,2.3406681418418884,0.375,0.53125,2.25,0.4375,0.1875,0.0003,1.0940492153167725
9,2.000357745185731,2.290069431066513,0.40625,0.59375,1.90625,0.40625,0.1875,0.0003,1.1003930568695068
10,1.9384409283834791,2.44659623503685,0.375,0.53125,2.28125,0.5,0.125,0.0003,1.0974838733673096
11,1.8973674622793046,2.3174573481082916,0.40625,0.59375,1.78125,0.40625,0.1875,0.0003,1.1220598220825195
12,1.745864092357575,2.3431068658828735,0.34375,0.59375,1.90625,0.46875,0.1875,0.0003,0.9368550777435303
13,1.7320715510655964,2.325454443693161,0.40625,0.59375,1.8125,0.4375,0.15625,0.00015,0.9372358322143555
14,1.6993685279573714,2.3194847404956818,0.375,0.625,1.78125,0.40625,0.21875,0.00015,0.9307382106781006
15,1.6310548744504414,2.3364889323711395,0.34375,0.625,1.8125,0.40625,0.25,0.00015,0.9328241348266602
16,1.5795473844285994,2.3819965720176697,0.40625,0.59375,1.78125,0.46875,0.125,0.00015,0.9250662326812744
17,1.5502321852578058,2.2811205685138702,0.40625,0.6875,1.53125,0.375,0.21875,0.00015,0.9245414733886719
18,1.5625978556890336,2.4808186292648315,0.40625,0.59375,1.75,0.46875,0.125,0.00015,0.9384808540344238
19,1.510336264731392,2.348610132932663,0.40625,0.625,1.75,0.4375,0.15625,0.00015,0.9451189041137695
20,1.4568822724478585,2.3550946414470673,0.4375,0.5625,1.65625,0.40625,0.15625,0.00015,0.9439394474029541
21,1.4285559843456934,2.344724804162979,0.34375,0.625,1.75,0.4375,0.21875,7.5e-05,0.936650276184082
22,1.4462586281791565,2.3545617759227753,0.4375,0.65625,1.625,0.4375,0.125,7.5e-05,1.0180861949920654
23,1.396621897107079,2.325262099504471,0.4375,0.625,1.5625,0.40625,0.15625,7.5e-05,1.092973232269287
24,1.4272291849529932,2.362678825855255,0.4375,0.65625,1.59375,0.4375,0.125,7.5e-05,1.0924208164215088
25,1.3610152819799999,2.342072993516922,0.40625,0.59375,1.59375,0.4375,0.15625,3.75e-05,1.0771222114562988
