class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,4130349.0,4030971.0,0.9248427950380668,0.8601930868991652,background
1,T1,66724.0,45200.0,0.56815338980408,0.3967976637747034,thoracic
2,T2,64143.0,72796.0,0.45881742966241307,0.29770478754313995,thoracic
3,T3,78992.0,59623.0,0.3443494571341893,0.20798438331307478,thoracic
4,T4,79793.0,66737.0,0.29760458609637885,0.17481519491385267,thoracic
5,T5,119559.0,63115.0,0.24536606195054925,0.13983888983021758,thoracic
6,T6,40541.0,63126.0,0.10682280765232116,0.056425150320427754,thoracic
7,T7,54636.0,87665.0,0.19475618583710053,0.10788359129964901,thoracic
8,T8,83176.0,74016.0,0.15760344038400426,0.08554262629684374,thoracic
9,T9,44506.0,86921.0,0.10051207134682742,0.05291535146806721,thoracic
10,T10,31814.0,95385.0,0.07639997170515178,0.03971718163282886,thoracic
11,T11,70446.0,88074.0,0.18454453697208842,0.1016519219204433,thoracic
12,T12,27570.0,101537.0,0.09200120830712509,0.04821869317478389,thoracic
13,L1,79220.0,80394.0,0.1387973486089015,0.07457401186859453,lumbar
14,L2,61406.0,77060.0,0.12859474528672313,0.06871560554271887,lumbar
15,L3,110855.0,63256.0,0.295822779725027,0.1735868642124214,lumbar
16,L4,58527.0,49709.0,0.46213829040742327,0.3005070530927774,lumbar
17,L5,40623.0,37295.0,0.3820939962604008,0.23616575708788923,lumbar
