class_id,class_name,pred_pixels,target_pixels,dice,iou
0,background,4576889.0,4573778.0,0.9626080809191327,0.9279116823774901
1,T1,45406.0,24578.0,0.3967478280836085,0.2474643945874857
2,T2,25299.0,37944.0,0.3036857834178694,0.17902684565288915
3,T3,27714.0,34068.0,0.3159172574646998,0.18759010439252657
4,T4,13192.0,35091.0,0.11739121431730856,0.062355607404731554
5,T5,38670.0,35110.0,0.18015722419110658,0.09899603778861688
6,T6,47812.0,34666.0,0.18487354204533485,0.10185160446867435
7,T7,22571.0,47294.0,0.07657625421775459,0.03981247210835225
8,T8,47620.0,40104.0,0.12822032740038963,0.06850182705154079
9,T9,75788.0,48377.0,0.15360206177945798,0.08319011769200474
10,T10,29366.0,51811.0,0.09598777980097828,0.05041342633958653
11,T11,29348.0,48914.0,0.11540722190698671,0.06123721965854099
12,T12,125735.0,56479.0,0.1943319393724174,0.10762329113235371
13,L1,39786.0,45230.0,0.12110661523570733,0.06445635299413463
14,L2,18713.0,44062.0,0.08624452410854251,0.045065592344591704
15,L3,49172.0,36917.0,0.13588263309905005,0.07289381855592107
16,L4,29799.0,28131.0,0.10740548939914715,0.05675039677745398
17,L5,0.0,20326.0,4.9198071433179274e-11,4.9198071433179274e-11
