metric,binary_test,cascade_test,post_v2,range_clip,last_clip
dice,0.8966665957884665,,,,
iou,0.8126887053051197,,,,
last_pred_clip_macro_dice_fg,,,,,0.3323588733293916
last_test_exact_acc,,,,,0.3333333333333333
last_test_mae,,,,,2.2666666666666666
last_test_overprediction_rate,,,,,0.6444444444444445
last_test_within1_acc,,,,,0.5555555555555556
loss,0.3391988048186669,1.9784328242142992,,,
macro_dice_fg,,0.3226017524756092,,,
macro_dice_lumbar,,0.3955964658663182,,,
macro_dice_thoracic,,0.2921872885628138,,,
macro_iou_fg,,0.200097270704437,,,
mean_last_extra_count,,,,,2.2444444444444445
mean_last_missing_count,,,,,0.022222222222222223
mean_oracle_extra_count,,,,0.0,
mean_post_extra_count,,,2.577777777777778,,
mean_pred_extra_count,,,,3.022222222222222,
mean_pred_missing_count,,,,0.022222222222222223,
mean_raw_extra_count,,,3.022222222222222,3.022222222222222,3.022222222222222
mean_raw_missing_count,,,,0.022222222222222223,0.022222222222222223
oracle_macro_dice_fg,,,,0.35343906420460014,0.35774460132405267
pixel_accuracy,0.9688558959960984,0.8120143229166871,,,
pos_weight,5.955541161249068,,,,
post_v2_macro_dice_fg,,,0.32497992589903857,,
post_v2_macro_dice_lumbar,,,0.4009348674293157,,
post_v2_macro_dice_thoracic,,,0.2933320335947564,,
post_v2_monotonic_ratio,,,1.0,,
pred_clip_macro_dice_fg,,,,0.32051142534255694,
range_test_exact_acc,,,,0.28888888888888886,
range_test_within1_acc,,,,0.4666666666666667,
raw_macro_dice_fg,,,0.3248689325416529,0.32051142534255694,0.3248689325416529
raw_macro_dice_lumbar,,,0.3977860278242687,,
raw_macro_dice_thoracic,,,0.29448680950722966,,
raw_monotonic_ratio,,,0.5555555555555556,,
samples_with_extra_reduction,,,6,,
samples_with_missing_increase,,,20,,
selected_threshold,0.65,,,,
target_subset,,,partial,partial,partial
test_samples,,,45,45,45
threshold,0.65,,,,
