unique_sample_id,class_id,class_name,component_id,area_pixels,centroid_y,centroid_x
Normal__N_4.jpg,1,T1,1,2507,130.06541683286798,187.8595931392102
Normal__N_4.jpg,2,T2,1,1638,148.97802197802199,195.31440781440782
Normal__N_4.jpg,2,T2,2,30,160.06666666666666,160.93333333333334
Normal__N_4.jpg,3,T3,1,613,165.70962479608482,218.80097879282218
Normal__N_4.jpg,3,T3,2,583,164.80617495711834,163.83704974271012
Normal__N_4.jpg,4,T4,2,158,163.08860759493672,194.46835443037975
Normal__N_4.jpg,4,T4,7,37,165.21621621621622,174.86486486486487
Normal__N_4.jpg,4,T4,9,45,172.24444444444444,180.04444444444445
Normal__N_4.jpg,4,T4,15,146,184.96575342465752,181.7945205479452
Normal__N_4.jpg,5,T5,5,1793,183.5298382598996,189.8851087562744
Normal__N_4.jpg,6,T6,10,57,186.859649122807,160.78947368421052
Normal__N_4.jpg,6,T6,15,2410,209.2174273858921,184.24066390041494
Normal__N_4.jpg,7,T7,2,3191,241.38138514572233,184.017235976183
Normal__N_4.jpg,8,T8,2,1461,268.0403832991102,192.19986310746063
Normal__N_4.jpg,9,T9,3,1901,291.19147816938454,181.93529721199369
Normal__N_4.jpg,9,T9,4,31,303.8709677419355,156.8709677419355
Normal__N_4.jpg,10,T10,1,2334,317.6640959725793,172.82047986289632
Normal__N_4.jpg,11,T11,1,3507,347.4536641003707,168.2178500142572
Normal__N_4.jpg,11,T11,2,32,378.9375,211.25
Normal__N_4.jpg,12,T12,1,4463,384.0235267757114,163.31010531032936
Normal__N_4.jpg,12,T12,4,180,409.1277777777778,214.11111111111111
Normal__N_4.jpg,13,L1,1,3778,420.82345156167287,164.14134462678666
Normal__N_4.jpg,14,L2,1,4233,455.3664068036853,162.3442003307347
Normal__N_4.jpg,15,L3,1,105,471.1142857142857,218.05714285714285
Normal__N_4.jpg,15,L3,2,4761,492.39319470699434,156.58958202058392
Normal__N_4.jpg,15,L3,3,45,471.6,95.31111111111112
Normal__N_4.jpg,15,L3,5,38,526.2105263157895,221.68421052631578
Normal__N_4.jpg,16,L4,1,6622,534.6428571428571,161.73512533977652
Normal__N_4.jpg,16,L4,7,101,570.4554455445544,161.04950495049505
Normal__N_4.jpg,17,L5,1,58,544.8275862068965,234.06896551724137
Normal__N_4.jpg,17,L5,5,7983,579.8729800826757,156.1976700488538
Normal__N_4.jpg,17,L5,7,38,558.3157894736842,228.81578947368422
Normal__N_6.jpg,1,T1,1,2948,93.61872455902306,190.43962008141114
Normal__N_6.jpg,2,T2,2,1569,115.73741236456341,187.10325047801146
Normal__N_6.jpg,2,T2,3,90,128.4,195.32222222222222
Normal__N_6.jpg,3,T3,1,2584,140.655959752322,188.3858359133127
Normal__N_6.jpg,4,T4,4,363,152.88429752066116,202.27823691460054
Normal__N_6.jpg,4,T4,5,57,144.40350877192984,225.31578947368422
Normal__N_6.jpg,4,T4,6,31,144.5483870967742,169.09677419354838
Normal__N_6.jpg,4,T4,20,51,155.9607843137255,236.01960784313727
Normal__N_6.jpg,4,T4,32,222,164.46396396396398,164.27927927927928
Normal__N_6.jpg,4,T4,34,41,159.65853658536585,227.17073170731706
Normal__N_6.jpg,5,T5,4,1427,173.76103714085494,206.48142957252978
Normal__N_6.jpg,5,T5,12,43,189.90697674418604,242.34883720930233
Normal__N_6.jpg,6,T6,4,2195,200.95398633257403,205.75626423690204
Normal__N_6.jpg,7,T7,1,4010,235.86159600997507,196.17406483790523
Normal__N_6.jpg,8,T8,4,2342,267.7143467122118,199.59692570452606
Normal__N_6.jpg,9,T9,4,2581,292.72607516466485,188.55676094537
Normal__N_6.jpg,10,T10,2,3373,321.7073821523866,179.69967388081827
Normal__N_6.jpg,11,T11,4,3202,352.4144284821986,178.1786383510306
Normal__N_6.jpg,12,T12,1,79,359.1518987341772,122.25316455696202
Normal__N_6.jpg,12,T12,4,4820,386.6553941908714,166.99398340248962
Normal__N_6.jpg,13,L1,1,3988,420.5947843530592,167.64042126379138
Normal__N_6.jpg,14,L2,1,5650,455.29840707964604,164.99256637168142
Normal__N_6.jpg,15,L3,2,5659,493.47128467927195,159.19579430994875
