metric,value
target_subset,partial
test_samples,45
raw_macro_dice_fg,0.3248689325416529
post_v2_macro_dice_fg,0.32497992589903857
raw_macro_dice_thoracic,0.29448680950722966
post_v2_macro_dice_thoracic,0.2933320335947564
raw_macro_dice_lumbar,0.3977860278242687
post_v2_macro_dice_lumbar,0.4009348674293157
mean_raw_extra_count,3.022222222222222
mean_post_extra_count,2.577777777777778
samples_with_extra_reduction,6
samples_with_missing_increase,20
raw_monotonic_ratio,0.5555555555555556
post_v2_monotonic_ratio,1.0
