unique_sample_id,selected_start_label,selected_end_label,num_labels_before,num_labels_after_component_cleaning,num_labels_after_final,num_positive_pixels_before,num_positive_pixels_after_final,trim_decisions,monotonic_decisions,restore_decisions
Normal__N_4.jpg,T1,L5,17,17,17,53932,52862,,,
Normal__N_6.jpg,T1,L5,17,17,17,59849,58302,,,
Normal__N_8.jpg,T1,L5,17,17,17,59857,58994,,,
Normal__N_15.jpg,T1,L5,17,17,17,55840,55063,,,
Normal__N_18.jpg,T1,L5,17,17,17,57964,57388,,,
Normal__N_19.jpg,T1,L5,17,17,17,48578,47492,,,
Normal__N_23.jpg,T1,L5,17,17,17,55218,53518,,,
Normal__N_24.jpg,T1,L5,17,17,17,57479,56299,,,
Normal__N_26.jpg,T1,L5,17,17,17,48384,47844,,,
Normal__N_27.jpg,T1,L5,17,17,17,54437,53176,,,
Normal__N_31.jpg,T1,L5,17,17,17,50953,49801,,,
Normal__N_32.jpg,T1,L4,16,16,16,29774,28339,,,
Normal__N_37.jpg,T1,L5,17,17,17,65252,64242,,,
Normal__N_44.jpg,T1,L5,17,17,17,56835,56229,,,
Normal__N_50.jpg,T1,L5,17,17,17,57329,56503,,,
Normal__N_64.jpg,T1,L5,17,17,17,63640,63091,,,
Normal__N_70.jpg,T1,L5,17,17,17,54391,53342,,,
Scoliosis__S_21.jpg,T1,L4,16,15,15,36271,34821,,,
Scoliosis__S_24.jpg,T1,L5,17,16,14,35943,25775,,monotonic_drop:T6; monotonic_drop:T8,
Scoliosis__S_25.jpg,T1,L5,17,15,11,29555,20897,,monotonic_drop:T10; monotonic_drop:T11; monotonic_drop:T12; monotonic_drop:L1,
Scoliosis__S_28.jpg,T1,L5,17,16,13,31827,25036,,monotonic_drop:T8; monotonic_drop:T9; monotonic_drop:T11,
Scoliosis__S_32.JPG,T1,L5,17,17,14,30530,25705,,monotonic_drop:T7; monotonic_drop:T6; monotonic_drop:T12,
Scoliosis__S_33.jpg,T1,L5,17,16,14,38278,35334,,monotonic_drop:T9; monotonic_drop:T11,
Scoliosis__S_44.jpg,T1,L5,17,17,14,31682,28406,,monotonic_drop:T6; monotonic_drop:T9; monotonic_drop:T12,
Scoliosis__S_45.jpg,T1,L5,17,17,16,30896,29420,,monotonic_drop:T11,
Scoliosis__S_48.jpg,T1,L4,16,16,12,31959,26800,,monotonic_drop:T9; monotonic_drop:T10; monotonic_drop:T11; monotonic_drop:T12,
Scoliosis__S_64.jpg,T1,L5,17,17,13,25180,17760,,monotonic_drop:T10; monotonic_drop:T11; monotonic_drop:T12; monotonic_drop:L1,
Scoliosis__S_67.jpg,T1,L5,17,16,15,31503,27223,,monotonic_drop:T10,
Scoliosis__S_70.jpg,T1,L5,17,15,12,31581,25192,,monotonic_drop:T7; monotonic_drop:T11; monotonic_drop:T12,
Scoliosis__S_72.jpg,T1,L5,17,15,14,34374,29625,,monotonic_drop:T9,
Scoliosis__S_84.jpg,T1,L5,17,17,16,47238,45072,,monotonic_drop:T7,
Scoliosis__S_89.jpg,T1,L5,17,17,17,27021,25788,,,
Scoliosis__S_96.jpg,T1,L5,17,16,14,34432,27519,,monotonic_drop:T6; monotonic_drop:T9,
Scoliosis__S_128.jpg,T1,L5,17,17,17,46769,45258,,,
Scoliosis__S_129.jpg,T1,L5,17,15,15,19037,17986,,,
Scoliosis__S_136.jpg,T1,L5,17,17,17,46953,45951,,,
Scoliosis__S_140.jpg,T1,L5,17,17,17,48163,45560,,,
Scoliosis__S_143.jpg,T1,L5,17,17,15,39799,32243,,monotonic_drop:T8; monotonic_drop:T9,
Scoliosis__S_144.jpg,T1,L5,17,17,17,43540,37247,,,
Scoliosis__S_146.jpg,T1,L5,17,17,17,36830,36338,,,
Scoliosis__S_152.jpg,T1,L5,17,17,13,38505,28211,,monotonic_drop:T10; monotonic_drop:T11; monotonic_drop:T12; monotonic_drop:T9,
Scoliosis__S_174.jpg,T1,L5,17,17,15,53064,46401,,monotonic_drop:T6; monotonic_drop:T9,
Scoliosis__S_175.jpg,T1,L5,17,17,13,37466,28874,,monotonic_drop:T9; monotonic_drop:T10; monotonic_drop:T11; monotonic_drop:T12,
Scoliosis__S_180.jpg,T1,L5,17,17,14,29524,25736,,monotonic_drop:T9; monotonic_drop:T8; monotonic_drop:T7,
Scoliosis__S_193.jpg,T1,L5,17,17,14,33606,27055,,monotonic_drop:T8; monotonic_drop:T9; monotonic_drop:T10,
