class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7248780.0,7209539.0,0.9462228631143118,0.8979345157466283,background
1,T1,87345.0,69524.0,0.6258087958766498,0.4554015438334503,thoracic
2,T2,103705.0,126363.0,0.5065893561924883,0.3392163825107006,thoracic
3,T3,133497.0,123438.0,0.3532099558279206,0.21448390283932858,thoracic
4,T4,43482.0,123259.0,0.10425750115985716,0.054995602635543435,thoracic
5,T5,113153.0,115199.0,0.16565653027271204,0.09030834901455176,thoracic
6,T6,99757.0,123121.0,0.18625436337733534,0.10269045428452771,thoracic
7,T7,136779.0,130137.0,0.21517631015295008,0.12055886045230853,thoracic
8,T8,126795.0,117347.0,0.19714756166822117,0.10935313255825554,thoracic
9,T9,96085.0,129056.0,0.23220115394693902,0.13135043869342342,thoracic
10,T10,86383.0,122659.0,0.2886501277289317,0.16866809786233358,thoracic
11,T11,84794.0,127211.0,0.2950590787986365,0.17306117480870112,thoracic
12,T12,115310.0,146797.0,0.3362367277511236,0.20209409196759295,thoracic
13,L1,123668.0,120787.0,0.35670368779793127,0.21706595770493753,lumbar
14,L2,129809.0,123680.0,0.40627403950701496,0.25492088952625336,lumbar
15,L3,150393.0,121612.0,0.46327824856358046,0.3014717844223319,lumbar
16,L4,176654.0,106883.0,0.4340597523447237,0.2771879405981181,lumbar
17,L5,159611.0,79388.0,0.3176666011183408,0.18882499826307053,lumbar
