class_id,class_name,pred_pixels,target_pixels,dice,iou,region
0,background,7257831.0,7239002.0,0.947040915764157,0.8994090368206984,background
1,T1,87432.0,68688.0,0.6360363822723799,0.4663147711633561,thoracic
2,T2,103711.0,124505.0,0.5134959862607639,0.3454386813069918,thoracic
3,T3,133794.0,121779.0,0.35735386758633597,0.21754768756208648,thoracic
4,T4,43739.0,121576.0,0.10916129813320533,0.0577316817299815,thoracic
5,T5,112387.0,113781.0,0.16631884263394325,0.09070216049821228,thoracic
6,T6,96172.0,121046.0,0.18590540379164752,0.10247834053656363,thoracic
7,T7,137335.0,127588.0,0.21292979469803328,0.11915021249284317,thoracic
8,T8,127330.0,115384.0,0.19581894740642972,0.10853619548249127,thoracic
9,T9,94697.0,127056.0,0.22772183465735424,0.12849102308793464,thoracic
10,T10,85665.0,120484.0,0.2833969604544121,0.16509172705035044,thoracic
11,T11,85464.0,125391.0,0.28975362216077516,0.1694221522227677,thoracic
12,T12,114163.0,144898.0,0.3332882988974284,0.19996757608411705,thoracic
13,L1,123558.0,118887.0,0.3456371548213176,0.20892463574836234,lumbar
14,L2,127969.0,122013.0,0.40387707915208343,0.2530363256361971,lumbar
15,L3,149808.0,120040.0,0.45878420444302426,0.29767681188332756,lumbar
16,L4,177206.0,105729.0,0.4243377454205936,0.26930755254808414,lumbar
17,L5,157739.0,78153.0,0.3048768080337405,0.17985525151335768,lumbar
